t_s,r_cmd,alpha,v_bus
2.368200e-03,0.6000,0.600000,14.70672
2.373300e-03,0.6000,0.600000,14.70672
2.378400e-03,0.6000,0.600000,14.70672
2.383500e-03,0.6000,0.600000,14.70672
2.388600e-03,0.6000,0.600000,14.70672
2.393700e-03,0.6000,0.600000,14.70672
2.398800e-03,0.6000,0.600000,14.70672
2.403900e-03,0.6000,0.600000,14.70672
2.409000e-03,0.6000,0.600000,14.70672
2.414100e-03,0.6000,0.600000,14.70672
2.419200e-03,0.6000,0.600000,14.70672
2.424300e-03,0.6000,0.600000,14.70672
2.429400e-03,0.6000,0.600000,14.70672
2.434500e-03,0.6000,0.600000,14.70672
2.439600e-03,0.6000,0.600000,14.70672
2.444700e-03,0.6000,0.600000,14.70672
2.449800e-03,0.6000,0.600000,14.70672
2.454900e-03,0.6000,0.600000,14.70672
2.460000e-03,0.6000,0.600000,14.70672
2.465100e-03,0.6000,0.600000,14.70672
2.470200e-03,0.6000,0.600000,14.70672
2.475300e-03,0.6000,0.600000,14.70672
2.480400e-03,0.6000,0.600000,14.70672
2.485500e-03,0.6000,0.600000,14.70672
2.490600e-03,0.6000,0.600000,14.70672
2.495700e-03,0.6000,0.600000,14.70672
2.500800e-03,0.6000,0.600000,14.70672
2.505900e-03,0.6000,0.600000,14.70672
2.511000e-03,0.6000,0.600000,14.70672
2.516100e-03,0.6000,0.600000,14.70672
2.521200e-03,0.6000,0.600000,14.70672
2.526300e-03,0.6000,0.600000,14.70672
2.531400e-03,0.6000,0.600000,14.70672
2.536500e-03,0.6000,0.600000,14.70672
2.541600e-03,0.6000,0.600000,14.70672
2.546700e-03,0.6000,0.600000,14.70672
2.551800e-03,0.6000,0.600000,14.70672
2.556900e-03,0.6000,0.600000,14.70672
2.562000e-03,0.6000,0.600000,14.70672
2.567100e-03,0.6000,0.600000,14.70672
2.572200e-03,0.6000,0.600000,14.70672
2.577300e-03,0.6000,0.600000,14.70672
2.582400e-03,0.6000,0.600000,14.70672
2.587500e-03,0.6000,0.600000,14.70672
2.592600e-03,0.6000,0.600000,14.70672
2.597700e-03,0.6000,0.600000,14.70672
2.602800e-03,0.6000,0.600000,14.70672
2.607900e-03,0.6000,0.600000,14.70672
2.613000e-03,0.6000,0.600000,14.70672
2.618100e-03,0.6000,0.600000,14.70672
2.623200e-03,0.6000,0.600000,14.70672
2.628300e-03,0.6000,0.600000,14.70672
2.633400e-03,0.6000,0.600000,14.70672
2.638500e-03,0.6000,0.600000,14.70672
2.643600e-03,0.6000,0.600000,14.70672
2.648700e-03,0.6000,0.600000,14.70672
2.653800e-03,0.6000,0.600000,14.70672
2.658900e-03,0.6000,0.600000,14.70672
2.664000e-03,0.6000,0.600000,14.70672
2.669100e-03,0.6000,0.600000,14.70672
2.674200e-03,0.6000,0.600000,14.70672
2.679300e-03,0.6000,0.600000,14.70672
2.684400e-03,0.6000,0.600000,14.70672
2.689500e-03,0.6000,0.600000,14.70672
2.694600e-03,0.6000,0.600000,14.70672
2.699700e-03,0.6000,0.600000,14.70672
2.704800e-03,0.6000,0.600000,14.70672
2.709900e-03,0.6000,0.600000,14.70672
2.715000e-03,0.6000,0.600000,14.70672
2.720100e-03,0.6000,0.600000,14.70672
2.725200e-03,0.6000,0.600000,14.70672
2.730300e-03,0.6000,0.600000,14.70672
2.735400e-03,0.6000,0.600000,14.70672
2.740500e-03,0.6000,0.600000,14.70672
2.745600e-03,0.6000,0.600000,14.70672
2.750700e-03,0.6000,0.600000,14.70672
2.755800e-03,0.6000,0.600000,14.70672
2.760900e-03,0.6000,0.600000,14.70672
2.766000e-03,0.6000,0.600000,14.70672
2.771100e-03,0.6000,0.600000,14.70672
2.776200e-03,0.6000,0.600000,14.70672
2.781300e-03,0.6000,0.600000,14.70672
2.786400e-03,0.6000,0.600000,14.70672
2.791500e-03,0.6000,0.600000,14.70672
2.796600e-03,0.6000,0.600000,14.70672
2.801700e-03,0.6000,0.600000,14.70672
2.806800e-03,0.6000,0.600000,14.70672
2.811900e-03,0.6000,0.600000,14.70672
2.817000e-03,0.6000,0.600000,14.70672
2.822100e-03,0.6000,0.600000,14.70672
2.827200e-03,0.6000,0.600000,14.70672
2.832300e-03,0.6000,0.600000,14.70672
2.837400e-03,0.6000,0.600000,14.70672
2.842500e-03,0.6000,0.600000,14.70672
2.847600e-03,0.6000,0.600000,14.70672
2.852700e-03,0.6000,0.600000,14.70672
2.857800e-03,0.6000,0.600000,14.70672
2.862900e-03,0.6000,0.600000,14.70672
2.868000e-03,0.6000,0.600000,14.70672
2.873100e-03,0.6000,0.600000,14.70672
2.878200e-03,0.6000,0.600000,14.70672
2.883300e-03,0.6000,0.600000,14.70672
2.888400e-03,0.6000,0.600000,14.70672
2.893500e-03,0.6000,0.600000,14.70672
2.898600e-03,0.6000,0.600000,14.70672
2.903700e-03,0.6000,0.600000,14.70672
2.908800e-03,0.6000,0.600000,14.70672
2.913900e-03,0.6000,0.600000,14.70672
2.919000e-03,0.6000,0.600000,14.70672
2.924100e-03,0.6000,0.600000,14.70672
2.929200e-03,0.6000,0.600000,14.70672
2.934300e-03,0.6000,0.600000,14.70672
2.939400e-03,0.6000,0.600000,14.70672
2.944500e-03,0.6000,0.600000,14.70672
2.949600e-03,0.6000,0.600000,14.70672
2.954700e-03,0.6000,0.600000,14.70672
2.959800e-03,0.6000,0.600000,14.70672
2.964900e-03,0.6000,0.600000,14.70672
2.970000e-03,0.6000,0.600000,14.70672
2.975100e-03,0.6000,0.600000,14.70672
2.980200e-03,0.6000,0.600000,14.70672
2.985300e-03,0.6000,0.600000,14.70672
2.990400e-03,0.6000,0.600000,14.70672
2.995500e-03,0.6000,0.600000,14.70672
3.000600e-03,0.6000,0.600000,14.70672
3.005700e-03,0.6000,0.600000,14.70672
3.010800e-03,0.6000,0.600000,14.70672
3.015900e-03,0.6000,0.600000,14.70672
3.021000e-03,0.6000,0.600000,14.70672
3.026100e-03,0.6000,0.600000,14.70672
3.031200e-03,0.6000,0.600000,14.70672
3.036300e-03,0.6000,0.600000,14.70672
3.041400e-03,0.6000,0.600000,14.70672
3.046500e-03,0.6000,0.600000,14.70672
